infinitive,normalized_string,pos,skill,related_lexemes,skill_url_title,gender,lexeme_id,word_string
,fahrkarte,Noun,Travel,['2800c5e5751d1b845572aae91d46ca2a'],Travel,Feminine,a3d1e3d990ceccae658bd546cb0d3dbd,fahrkarte
,zug,Noun,Travel,[],Travel,Masculine,5525686c95c8a7a1088e596e5ab77f3d,zug
stornieren,stornieren,Verb,Travel,[],Travel,,0b55c66017430d488ef307f89e08955c,stornieren
können,konnen,Verb,Travel,[],Travel,,49e83981d692927429da0cf16764ffae,können
,wo,Adverb,Basics 2,[],Basics-2,,502eeda38c2cb2bf45cf34b628fa816d,wo
leben,lebt,Verb,People,"['ef2af977cdd739cd564c823939be133c', '0b9411ae6857492b07ec49072758d166', '97835524101a0fb4c27964e2fffd3a62']",People,,bbd2e8180f24f6cbb6abe5d51542a1c7,lebt
,zehn,Numeral,Market,[],Market,,b094644d925de5af5beac06ec57c4d76,zehn
,ice,Noun,Travel,[],Travel,Masculine,db1f3e1bbd904373698dd33c03b147ef,ice
,zurich,Proper noun,People,[],People,Neuter,627f8776578ec4ef15697e6c73a01ffa,zürich
,zwei,Numeral,Market,[],Market,,33802bfac5337846883ab57e349ec498,zwei
,im,Preposition,Weather,[],Weather,,2c110dd735249825cee396cfd9cb36cd,im
sein,ist,Verb,Family,"['ab6750aee2f31d980e3b5f9f9ecea02b', 'ea162697009a9c78b38033a3fc8eb40f', '9aac75af6c4763cfe75d16b87cc10604', '57e8aed4c315b289686064c402adcbc9', '6b1c28621e623451322c32fc2aa7459d', '4fdaa498ad844fc4c7adf7ddac542751', '713d30d6c7922e90eefdb989d4d9ad56', '0b59f6cdecb914ed8e713bbbab6a7924', '71f5612281d1ecd419cfbe7ae49aaed3', 'df0b0165dae55e3bd922a746d9072e9d', '7b563f860cd0b0f43adf0a79e0188bcb']",Family,,2ac4ffe95f75b15d1d99aeebbb8321c7,ist
,mutter,Noun,Family,[],Family,Feminine,e19c12a208e498b193d28e20ffdfda50,mutter
,ja,Adverb,Basics 1,[],Basics-1,,bae9cad859ae1be750a7c79fa962695c,ja
mögen,mochte,Verb,Plans,"['80d14006256295d3d98b1a0d52cbbd81', 'de7cc64f2f73345c893d3de9bf662804', 'c9f50c8a4faca3e35534e2e4093857e1', '4635584da9ff676724eca4ade50daa8b', '9512cc06f50a793c60f9fe22c313a24a', '943b1d3eca0734f84a2b57d943b86c27']",Plans,,8cb8f187613a439fd2964ab5515a66c3,möchte
,ich,Pronoun,Family,"['91520bedc38e8013eeeb855b1b5591cb', 'a056fedfbc44f16c2fb35a91cfa49725']",Family,,5e5a51e875ae5efb092ae84d99babc56,ich
,reisezentrum,Noun,Travel,[],Travel,Neuter,1720512b7df5f2cf94b4badb10ea241b,reisezentrum
,wien,Proper noun,Places,[],Places,,935d822fbeeeb2649e212915d6bae767,wien
,deine,,Jobs,"['dcbc121aecb08e610c3a08dd5baa7dd0', 'dd697f8e1234efb2cbc33c379f6c9912', '95a5b32daf755b8ec21c3fcfc9fed688', '2fdce2ac591b483ad7c5b8b44346ef15', '76488439ef737ef7cf368657d5d3a579', 'a2c2a92b69b243135e36c39a9d5a9378']",Jobs,Feminine,b4925b813ecc0a1f9dcf205a258c69e5,deine
,auf,Preposition,Travel,['5e1534b93aecf8a8a144c964660813dc'],Travel,,5dc649a611a945c4656f5549da21dc45,auf
,fahrkarten,Noun,Travel,['a3d1e3d990ceccae658bd546cb0d3dbd'],Travel,Feminine,2800c5e5751d1b845572aae91d46ca2a,fahrkarten
,und,Conjunction,Basics 1,[],Basics-1,,e0fc2007688b591de1acf8374c9ce38e,und
,gleis,Noun,Travel,[],Travel,Neuter,e90c620c9af41cedb00255e55e727ce8,gleis
,mir,Pronoun,Errands,"['5e5a51e875ae5efb092ae84d99babc56', 'a056fedfbc44f16c2fb35a91cfa49725']",Errands,,91520bedc38e8013eeeb855b1b5591cb,mir
,entschuldigung,Interjection,Restaurant,[],Restaurant,,4f72c89c68d056659634583fc2001967,entschuldigung
eröffnen,eroffnen,Verb,Errands,[],Errands,,61d4f5c0acd0c4f5f6fae16b26f7a8eb,eröffnen
,nett,Adjective,Family,[],Family,,ac9f23c8a73e5ee87e0ffdd60e3d5e1a,nett
,konto,Noun,Errands,[],Errands,Neuter,d4f6db9f980c8c6bbde2c847ea80d6e4,konto
,der,Determiner,Errands,"['d28d6a07b12660af2d09a03ecfcb4cf9', '1fce28079e74620982a0c36750cd183d']",Errands,Feminine,23cd8c19d766c397468d40c79efdf5ea,der
,problem,Noun,Travel 2,[],Travel-2,Neuter,a69ff07c11d6195ba14bd578ed56afc6,problem
,das,Determiner,Restaurant,['cf4f0523c89ee6ed200820fe6e233736'],Restaurant,Neuter,84920990d78044db53c1b012f5bf9ab5,das
mögen,mochten,Verb,Dining Out,"['80d14006256295d3d98b1a0d52cbbd81', 'de7cc64f2f73345c893d3de9bf662804', '4635584da9ff676724eca4ade50daa8b', '9512cc06f50a793c60f9fe22c313a24a', '8cb8f187613a439fd2964ab5515a66c3', '943b1d3eca0734f84a2b57d943b86c27']",DiningOut,,c9f50c8a4faca3e35534e2e4093857e1,möchten
,auch,Adverb,Places,[],Places,,d85a58ea82031b2d3b3ccec1440b2da7,auch
,schon,Adverb,Hobbies 2,[],Hobbies-2,,acc3817a0a667a5fd00bdb6f8d529551,schon
,fur,Preposition,Shopping,[],Shopping,,ae5e72ec66e1964c5a559312584e9ff0,für
,wie viel,,Market,[],Market,,fff7ac85293f4d6124eb5f3853238a8b,wie viel
helfen,helfen,Verb,Errands,[],Errands,,0e122a361266afc0991c52bdc2d5ad03,helfen
,eine,Determiner,Family,"['76443cfe0e3f05570e98e35a330dbfff', '7f78970589f8a9fe95bca610215c051a', '1064e9fdf75eafe86207caa8a36cb594', '743819fb236e8f66b5be133a6259a953', '9fd5e36e3610cccd451acba4d29990ca']",Family,Feminine,6f9902a2e4d1f353aecc47843c9df6e7,eine
,aus,Preposition,Places,['eb1b217628e3d1b1a21184a198c259cb'],Places,,02f29045c453dca38ae3ddf483bb6309,aus
,lebensmittel,Noun,Roommate,[],Roommate,Neuter,bb23c1e5b3d7f8d9e1e3389aca84d481,lebensmittel
