der Mann; the man
die Frau; the woman
der Junge; the boy
ich; I
ich bin; I am
ein; one
eine; a
du; you
du bist; you are
das Kind; the child
das Mädchen; the girl
und; and
das Brot; the bread
das Wasser; the water
er; he
sie; they
es; it
ist; is
er trinkt; he drinks
wir; we
ihr; you
wir sind; we are
ihr seid; you are
die Männer; the men
die Frauen; the women
die Jungen; the boys
die Kinder; the children
hallo; hello
tschüss; bye
danke; thank you
ja; yes
nein; no
guten morgen; good morning
guten abend; good evening
wie geht's; how are you
mir geht's gut; I'm fine
willkommen; welcome
auf wiedersehen; goodbye
bis später; see you later
bis morgen; see you tomorrow
es tut mir leid; I am sorry
gute nacht; good night
genau; exactly
leider; unfortunately
ich trinke; I drink
du trinkst; you drink
wir trinken; we drink
die Milch; the milk
ich esse; I eat
sie isst; she eats
wir essen; we eat
ihr esst; you eat
der Apfel; the apple
sie liest; she reads
die Zeitung; the newspaper
ich lese; I read
wir lesen; we read
das Buch; the book
die Bücher; the books
er hat; he has
ich habe; I have
du hast; you have
ihr habt; you have
wir haben; we have
kommen; to come
aus; out
Deutschland; Germany
Deutsch; German
Englisch; English
sprechen; to speak
verstehen; to understand
das Essen; the food
der Hunger; the hunger
die Pizza; the Pizza
die Suppe; the soup
der Fisch; the fish
das Eis; the ice cream
gut; good
der Tee; the tea
der Durst; the thirst
schmeckt; tastes
der Kaffee; the coffee
das Bier; the beer
der Wein; the Wine
das Obst; the fruit
die Orange; the orange
die Banane; the banana
der Saft; the juice
der Apfelsaft; the apple juice
der Orangensaft; the orange juice
das Ei; the egg
der Käse; the cheese
das Fleisch; the meat
das Gemüse; the vegetables
die Kartoffel; the potato
süß; sweet
die Schokolade; the chocolate
der Zucker; the sugar
die Erdbeere; the strawberry
frisch; fresh
lecker; delicious
das Salz; the salt
die Nudeln; the noodles
der Reis; the rice
das Öl; the oil
das Tier; the animal
fressen; to eat
die Katze; the cat
der Hund; the dog
die Maus; the mouse
der Bär; the bear
das Haustier; the pet
die Kuh; the cow
das Pferd; the horse
das Schwein; the pig
der Vogel; the bird
die Ente; the duck
die Spinne; the spider
das Insekt; the insect
die Biene; the bee
der Käfer; the beetle
die Fliege; the fly
die Tiere; the animals
die Katzen; the cats
die Hunde; the dogs
die Fische; the fish
die Tomaten; the tomatoes
die Zeitungen; the newspapers
die Menschen; the people
die Mädchen; the girls
das Insekt; the insect
die Orangen; the oranges
die Äpfel; the apples
die Kartoffeln; the potatoes
die Eier; the eggs
die Kühe; the cows
die Schweine; the pigs
die Vögel; the birds
die Bären; the bears
die Enten; the ducks
die Mäuse; the mice
perfekt; perfect
schlecht; bad
frei; free
normal; normal
toll; great
leicht; light
laut; loud
leise; quiet
lang; long
schwach; weak
klar; clear
klein; small
rund; round
groß; big
ruhig; quiet
nicht; not
stark; strongly
traurig; sad
gesund; healthy
einfach; easy
lustig; funny
fertig; done
neu; new
schnell; fast
langsam; slowly
schön; beautiful
wichtig; important
teuer; expensive
weit; far
müde; tired
kalt; cold
schwer; heavy
richtig; correct
alt; old
jung; young
schmutzig; dirty
sauber; clean
hoch; high
tief; deep
warm; warm
wollen; to want
machen; to do
spielen; to play
laufen; to run
gehen; to walk
schlafen; to sleep
mögen; to like
lernen; to learn
schreiben; to write
sehen; to see
hören; to hear
kennen; to know
bringen; to bring
fahren; to drive
rennen; to run
denken; to think
schwimmen; to swim
beginnen; to begin
bezahlen; to pay
waschen; to wash
brauchen; to need
tragen; to carry
das Kleid; the dress
der Rock; the skirt
der Hut; the hat
der Schuh; the shoe
die Kleidung; the clothes
die Hose; the pants
das Hemd; the shirt
die Jacke; the jacket
die Tasche; the bag
der Knopf; the button
der Schmuck; the jewelry
der Ring; the ring
passen; to fit
die Natur; the nature
die Erde; the earth
der Berg; the mountain
der Baum; the tree
der Wind; the wind
das Feuer; the fire
die Blume; the flower
die Luft; the air
das Meer; the sea
der Mond; the moon
der Himmel; the sky
die Sonne; the Sun
der Stern; the star
fallen; to fall
leben; to live
mein; my
meine; my
dein; your
deine; yours
unser; our
euer; your
beide; both
viele; many
alle; all
alles; everything
niemand; no one
jemand; someone
etwas; something
ein paar; a few
keine; none
niemals; never
nichts; nothing
auch; also
so; so
gerne; gladly
wirklich; really
noch; still
nur; just
schon; already
immer; always
zusammen; together
vielleicht; maybe
wieder; again
alleine; alone
das Gebäude; the building
